,smiles,descriptors
15,[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:14]1[O:15][CH3:16].Cl[C:8](=[O:9])[CH2:10][CH2:11][CH2:12][Cl:13]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][c:7]([C:8](=[O:9])[CH2:10][CH2:11][CH2:12][Cl:13])[c:14]1[O:15][CH3:16],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:13][c:14]1[O:15][CH3:16].Cl[C:7](=[O:8])[CH2:9][CH2:10][CH2:11][Cl:12]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[CH2:9][CH2:10][CH2:11][Cl:12])[cH:13][c:14]1[O:15][CH3:16],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,Cl[C:29]([CH3:30])=[O:31].[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][c:20]([Br:21])[cH:22][cH:23][c:24]2-[c:25]2[cH:26][cH:27][cH:28][cH:32][c:33]21>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][c:20]([Br:21])[cH:22][cH:23][c:24]2-[c:25]2[cH:26][cH:27][c:28]([C:29]([CH3:30])=[O:31])[cH:32][c:33]21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,Cl[C:22]([CH3:23])=[O:24].[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][cH:20][cH:21][cH:25][c:26]2-[c:27]2[cH:28][cH:29][c:30]([Br:31])[cH:32][c:33]21>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][cH:20][c:21]([C:22]([CH3:23])=[O:24])[cH:25][c:26]2-[c:27]2[cH:28][cH:29][c:30]([Br:31])[cH:32][c:33]21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,Cl[C:30]([CH3:31])=[O:32].[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][c:20]([Br:21])[cH:22][cH:23][c:24]2-[c:25]2[cH:26][cH:27][cH:28][cH:29][c:33]21>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][c:20]([Br:21])[cH:22][cH:23][c:24]2-[c:25]2[cH:26][cH:27][cH:28][c:29]([C:30]([CH3:31])=[O:32])[c:33]21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,Cl[C:27]([CH3:28])=[O:29].[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[cH:25][cH:26][c:30]([Br:31])[cH:32][c:33]21>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[cH:25][c:26]([C:27]([CH3:28])=[O:29])[c:30]([Br:31])[cH:32][c:33]21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,Cl[C:27]([CH3:28])=[O:29].[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][c:20]([Br:21])[cH:22][cH:23][c:24]2-[c:25]2[cH:26][cH:30][cH:31][cH:32][c:33]21>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][c:20]([Br:21])[cH:22][cH:23][c:24]2-[c:25]2[c:26]([C:27]([CH3:28])=[O:29])[cH:30][cH:31][cH:32][c:33]21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,Cl[C:30]([CH3:31])=[O:32].[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[cH:25][cH:26][c:27]([Br:28])[cH:29][c:33]21>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[cH:25][cH:26][c:27]([Br:28])[c:29]([C:30]([CH3:31])=[O:32])[c:33]21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23,Cl[C:26]([CH3:27])=[O:28].[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[cH:25][cH:29][c:30]([Br:31])[cH:32][c:33]21>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][C:9]1([CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH3:17])[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[c:25]([C:26]([CH3:27])=[O:28])[cH:29][c:30]([Br:31])[cH:32][c:33]21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24,Cl[C:7]([CH3:8])=[O:9].[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][c:10]([Br:11])[cH:12]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7]([CH3:8])=[O:9])[c:10]([Br:11])[cH:12]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
