,smiles,energies,reaction_smiles
12,[CH2:1]=[C:2]([CH:3]=[CH2:4])[CH3:15].[C:5]1([CH3:6])=[CH:14][CH2:13][CH:11]([CH3:12])[CH:9]([CH3:10])[C:7]1=[O:8]>>[CH3:1][C:2]1=[CH:3][CH2:4][C:5]2([CH3:6])[C:7](=[O:8])[CH:9]([CH3:10])[CH:11]([CH3:12])[CH2:13][CH:14]2[CH2:15]1,0.015620750021000163,CC1=CCC(C)C(C)C1=O.C=CC(=C)C>>CC1=CCC2(C)C(=O)C(C)C(C)CC2C1
13,[CH2:1]=[C:2]([CH:3]=[CH2:6])[CH3:15].[CH2:4]1[CH:5]=[C:13]([CH3:14])[C:11](=[O:12])[CH:9]([CH3:10])[CH:7]1[CH3:8]>>[CH3:1][C:2]1=[CH:3][CH2:4][CH:5]2[CH2:6][CH:7]([CH3:8])[CH:9]([CH3:10])[C:11](=[O:12])[C:13]2([CH3:14])[CH2:15]1,0.016478976213996077,CC1=CCC(C)C(C)C1=O.C=CC(=C)C>>CC1=CCC2CC(C)C(C)C(=O)C2(C)C1
14,[CH3:1][CH:2]([CH3:3])[CH2:4][C:5]([CH:6]=[CH2:7])=[CH2:13].[CH:8]([CH:9]=[O:10])=[CH:11][CH3:12]>>[CH3:1][CH:2]([CH3:3])[CH2:4][C:5]1=[CH:6][CH2:7][CH:8]([CH:9]=[O:10])[CH:11]([CH3:12])[CH2:13]1,0.01966480344099608,C=CC(=C)CC(C)C.CC=CC=O>>CC(C)CC1=CCC(C=O)C(C)C1
15,[CH3:1][CH:2]([CH3:3])[CH2:4][C:5]([CH:6]=[CH2:7])=[CH2:13].[CH:8]([CH3:9])=[CH:10][CH:11]=[O:12]>>[CH3:1][CH:2]([CH3:3])[CH2:4][C:5]1=[CH:6][CH2:7][CH:8]([CH3:9])[CH:10]([CH:11]=[O:12])[CH2:13]1,0.011328976024998383,C=CC(=C)CC(C)C.CC=CC=O>>CC(C)CC1=CCC(C)C(C=O)C1
16,[CH:6]([C:7]([CH3:8])=[CH2:9])=[CH2:10].[CH3:1][C:2](=[O:3])[CH:4]=[CH2:5]>>[CH3:1][C:2](=[O:3])[CH:4]1[CH2:5][CH:6]=[C:7]([CH3:8])[CH2:9][CH2:10]1,0.006358466764002202,C=CC(C)=O.C=CC(=C)C>>CC(=O)C1CC=C(C)CC1
17,[CH2:6]=[CH:7][C:8]([CH3:9])=[CH2:10].[CH3:1][C:2](=[O:3])[CH:4]=[CH2:5]>>[CH3:1][C:2](=[O:3])[CH:4]1[CH2:5][CH2:6][CH:7]=[C:8]([CH3:9])[CH2:10]1,0.007420323190999056,C=CC(C)=O.C=CC(=C)C>>CC(=O)C1CCC=C(C)C1
18,[CH:11]1=[CH:12][CH:13]=[CH:14][CH2:15]1.[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][C:6]1=[CH:7][C:8](=[O:9])[CH:10]=[CH:16][C:17]1=[O:18]>>[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][C:6]1=[CH:7][C:8](=[O:9])[CH:10]2[CH:11]3[CH:12]=[CH:13][CH:14]([CH2:15]3)[CH:16]2[C:17]1=[O:18],0.0030270879350027258,C1=CCC=C1.CC(C)=CCC1=CC(=O)C=CC1=O>>CC(C)=CCC1=CC(=O)C2C3C=CC(C3)C2C1=O
19,[CH:14]1=[CH:15][CH:16]=[CH:17][CH2:18]1.[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][C:6]1=[CH:13][C:11](=[O:12])[CH:10]=[CH:9][C:7]1=[O:8]>>[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][C:6]12[C:7](=[O:8])[CH:9]=[CH:10][C:11](=[O:12])[CH:13]1[CH:14]1[CH:15]=[CH:16][CH:17]2[CH2:18]1,0.008511567599995828,C1=CCC=C1.CC(C)=CCC1=CC(=O)C=CC1=O>>CC(C)=CCC12C(=O)C=CC(=O)C1C1C=CC2C1
20,[CH2:1]=[C:2]([CH:3]=[CH2:4])[CH3:22].[CH:5]([c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)=[CH:12][C:13](=[O:14])[c:15]1[cH:16][cH:17][cH:18][cH:19][c:20]1[OH:21]>>[CH3:1][C:2]1=[CH:3][CH2:4][CH:5]([c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[CH:12]([C:13](=[O:14])[c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]2[OH:21])[CH2:22]1,0.02352692964200287,O=C(C=Cc1ccccc1)c1ccccc1O.C=CC(=C)C>>CC1=CCC(c2ccccc2)C(C(=O)c2ccccc2O)C1
21,[CH2:1]=[C:2]([CH:3]=[CH2:4])[CH3:22].[CH:5]([C:6](=[O:7])[c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[OH:14])=[CH:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1>>[CH3:1][C:2]1=[CH:3][CH2:4][CH:5]([C:6](=[O:7])[c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[OH:14])[CH:15]([c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[CH2:22]1,0.01549578508199545,O=C(C=Cc1ccccc1)c1ccccc1O.C=CC(=C)C>>CC1=CCC(C(=O)c2ccccc2O)C(c2ccccc2)C1
