,smiles,energies,reaction_smiles
17,[CH3:1][CH:2]=[CH:9][OH:10].[CH:3]([NH2:4])=[CH:5][CH:6]=[CH:7][NH2:8]>>[CH3:1][CH:2]1[CH:3]([NH2:4])[CH:5]=[CH:6][CH:7]([NH2:8])[CH:9]1[OH:10],0.029375828640997526,NC=CC=CN.CC=CO>>CC1C(N)C=CC(N)C1O
18,[NH2:1][C:2]([SH:3])=[CH:4][CH:5]=[CH2:6].[CH2:7]=[CH:8][Cl:9]>>[NH2:1][C:2]1([SH:3])[CH:4]=[CH:5][CH2:6][CH2:7][CH:8]1[Cl:9],0.033023767074002564,C=CC=C(N)S.C=CCl>>NC1(S)C=CCCC1Cl
19,[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][CH3:6].[C:7]([OH:8])([F:9])=[CH:10][SH:11]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([CH3:6])[C:7]([OH:8])([F:9])[CH:10]1[SH:11],0.02735706788800485,CC=CC=CC.OC(F)=CS>>CC1C=CC(C)C(O)(F)C1S
20,[CH3:1][CH:2]=[CH:9][F:10].[CH:3]([Cl:4])=[CH:5][CH:6]=[CH:7][OH:8]>>[CH3:1][CH:2]1[CH:3]([Cl:4])[CH:5]=[CH:6][CH:7]([OH:8])[CH:9]1[F:10],0.029158936640996558,OC=CC=CCl.CC=CF>>CC1C(Cl)C=CC(O)C1F
21,[CH2:8]=[CH:9][Br:10].[CH3:1][CH:2]=[CH:3][CH:4]=[C:5]([CH3:6])[CH3:7]>>[CH3:1][CH:2]1[CH:3]=[CH:4][C:5]([CH3:6])([CH3:7])[CH2:8][CH:9]1[Br:10],0.04346126646199977,CC=CC=C(C)C.C=CBr>>CC1C=CC(C)(C)CC1Br
22,[CH2:8]=[C:9]([CH3:10])[SH:11].[CH3:1][C:2]([CH3:3])=[CH:4][CH:5]=[CH:6][OH:7]>>[CH3:1][C:2]1([CH3:3])[CH:4]=[CH:5][CH:6]([OH:7])[CH2:8][C:9]1([CH3:10])[SH:11],0.05255916330800403,CC(C)=CC=CO.C=C(C)S>>CC1(C)C=CC(O)CC1(C)S
23,[CH:3]([OH:4])=[CH:5][CH:6]=[C:7]([CH3:8])[SH:9].[CH3:1][CH:2]=[C:10]([CH3:11])[CH3:12]>>[CH3:1][CH:2]1[CH:3]([OH:4])[CH:5]=[CH:6][C:7]([CH3:8])([SH:9])[C:10]1([CH3:11])[CH3:12],0.03834187612900308,CC(S)=CC=CO.CC=C(C)C>>CC1C(O)C=CC(C)(S)C1(C)C
24,[CH2:3]=[CH:4][CH:5]=[CH:6][SH:7].[CH3:1][CH:2]=[CH:8][OH:9]>>[CH3:1][CH:2]1[CH2:3][CH:4]=[CH:5][CH:6]([SH:7])[CH:8]1[OH:9],0.036198578058996844,C=CC=CS.CC=CO>>CC1CC=CC(S)C1O
25,[CH3:1][C:2]([I:3])=[CH:4][CH:5]=[CH:6][SH:7].[CH:8]([F:9])=[CH:10][OH:11]>>[CH3:1][C:2]1([I:3])[CH:4]=[CH:5][CH:6]([SH:7])[CH:8]([F:9])[CH:10]1[OH:11],0.03548598392600155,CC(I)=CC=CS.OC=CF>>CC1(I)C=CC(S)C(F)C1O
26,[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][NH2:6].[CH:7]([Cl:8])=[CH:9][OH:10]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([NH2:6])[CH:7]([Cl:8])[CH:9]1[OH:10],0.03140633001200399,CC=CC=CN.OC=CCl>>CC1C=CC(N)C(Cl)C1O
27,[CH2:5]=[C:6]([OH:7])[F:8].[CH3:1][CH:2]=[CH:3][CH:4]=[CH2:9]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH2:5][C:6]([OH:7])([F:8])[CH2:9]1,0.021486813905998048,C=CC=CC.C=C(O)F>>CC1C=CCC(O)(F)C1
28,[CH3:7][CH:9]=[CH2:10].[CH3:1][CH:2]=[CH:3][CH:4]=[C:5]([CH3:6])[CH3:8]>>[CH3:1][CH:2]1[CH:3]=[CH:4][C:5]([CH3:6])([CH3:7])[CH2:8][CH:9]1[CH3:10],0.04803119324400029,CC=CC=C(C)C.C=CC>>CC1C=CC(C)(C)CC1C
29,[CH2:7]=[C:8]([OH:9])[SH:10].[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][NH2:6]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([NH2:6])[CH2:7][C:8]1([OH:9])[SH:10],0.03749837224999908,CC=CC=CN.C=C(O)S>>CC1C=CC(N)CC1(O)S
30,[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][OH:6].[CH:7]([NH2:8])=[CH:9][CH3:10]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([OH:6])[CH:7]([NH2:8])[CH:9]1[CH3:10],0.030637616231999232,CC=CC=CO.CC=CN>>CC1C=CC(O)C(N)C1C
31,[CH3:1][CH:2]=[CH:3][CH:4]=[CH2:5].[C:6]([OH:7])([OH:8])=[CH:9][CH3:10]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH2:5][C:6]([OH:7])([OH:8])[CH:9]1[CH3:10],0.02933421535600189,C=CC=CC.CC=C(O)O>>CC1C=CCC(O)(O)C1C
32,[CH3:1][CH:2]=[CH:3][CH:4]=[CH2:5].[CH:6]([NH2:7])=[C:8]([OH:9])[OH:10]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH2:5][CH:6]([NH2:7])[C:8]1([OH:9])[OH:10],0.025343063225001572,C=CC=CC.NC=C(O)O>>CC1C=CCC(N)C1(O)O
33,[CH:7]([CH3:8])=[CH2:9].[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][CH3:6]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([CH3:6])[CH:7]([CH3:8])[CH2:9]1,0.020552055854999196,CC=CC=CC.C=CC>>CC1C=CC(C)C(C)C1
34,[CH:7]([CH3:8])=[C:9]([OH:10])[OH:11].[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][Cl:6]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([Cl:6])[CH:7]([CH3:8])[C:9]1([OH:10])[OH:11],0.03506969178000219,CC=CC=CCl.CC=C(O)O>>CC1C=CC(Cl)C(C)C1(O)O
